Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,39,896,935,Namsan(North),MMR015016
 Rural,103,12647,12750,Namsan(North),MMR015016
 Total,142,13543,13685,Namsan(North),MMR015016
