Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,2475,4799,7274,Myauk U,MMR012003
 Rural,2932,31319,34251,Myauk U,MMR012003
 Total,5407,36118,41525,Myauk U,MMR012003
