Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,21748,22127,43875,Pyigyidagun,MMR010005
 Total,21748,22127,43875,Pyigyidagun,MMR010005
