Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,878,1663,2541,Ngaputaw,MMR017004
 Rural,5632,29203,34835,Ngaputaw,MMR017004
 Total,6510,30866,37376,Ngaputaw,MMR017004
