Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,5211,2305,7516,Kyaikto,MMR011009
 Rural,13293,17279,30572,Kyaikto,MMR011009
 Total,18504,19584,38088,Kyaikto,MMR011009
