Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,677,1246,1923,Theinni,MMR015002
 Rural,1559,8297,9856,Theinni,MMR015002
 Total,2236,9543,11779,Theinni,MMR015002
