Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,327,2322,2649,Hsihseng,MMR014004
 Rural,2297,27825,30122,Hsihseng,MMR014004
 Total,2624,30147,32771,Hsihseng,MMR014004
