Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,1227,949,2176,Kyaikemaraw,MMR011002
 Rural,15394,21318,36712,Kyaikemaraw,MMR011002
 Total,16621,22267,38888,Kyaikemaraw,MMR011002
