Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,5,80,85,Mawhtike(ST),MMR015023
 Rural,20,4098,4118,Mawhtike(ST),MMR015023
 Total,25,4178,4203,Mawhtike(ST),MMR015023
