Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,6090,2659,8749,Hlegu,MMR013004
 Rural,24910,24364,49274,Hlegu,MMR013004
 Total,31000,27023,58023,Hlegu,MMR013004
