Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,792,769,1561,Minesat,MMR016006
 Rural,1658,12690,14348,Minesat,MMR016006
 Total,2450,13459,15909,Minesat,MMR016006
