Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,3472,3402,6874,Pyawbwe,MMR010024
 Rural,16670,35319,51989,Pyawbwe,MMR010024
 Total,20142,38721,58863,Pyawbwe,MMR010024
