Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,1393,566,1959,Minepan,MMR014021
 Rural,545,2917,3462,Minepan,MMR014021
 Total,1938,3483,5421,Minepan,MMR014021
