Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,703,772,1475,Kyeintali(ST),MMR012017
 Rural,1385,3221,4606,Kyeintali(ST),MMR012017
 Total,2088,3993,6081,Kyeintali(ST),MMR012017
