Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,2198,2522,4720,Thazi,MMR010030
 Rural,13616,26556,40172,Thazi,MMR010030
 Total,15814,29078,44892,Thazi,MMR010030
