Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,4,87,91,Monehta(ST),MMR016008
 Rural,7,831,838,Monehta(ST),MMR016008
 Total,11,918,929,Monehta(ST),MMR016008
