Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,91,193,284,Minekoke(ST),MMR016006
 Rural,152,2766,2918,Minekoke(ST),MMR016006
 Total,243,2959,3202,Minekoke(ST),MMR016006
