Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,1546,1296,2842,Natogyi,MMR010019
 Rural,14478,23645,38123,Natogyi,MMR010019
 Total,16024,24941,40965,Natogyi,MMR010019
