Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,2809,23109,25918,Mingala Taungnyunt,MMR013022
 Total,2809,23109,25918,Mingala Taungnyunt,MMR013022
