Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,3861,1445,5306,Kyangin,MMR017012
 Rural,12306,9245,21551,Kyangin,MMR017012
 Total,16167,10690,26857,Kyangin,MMR017012
