Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,405,1105,1510,Yethedaung,MMR012008
 Rural,910,21921,22831,Yethedaung,MMR012008
 Total,1315,23026,24341,Yethedaung,MMR012008
