Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,3454,5199,8653,Kyukme,MMR015012
 Rural,2479,17239,19718,Kyukme,MMR015012
 Total,5933,22438,28371,Kyukme,MMR015012
