Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,170,1390,1560,Minelar,MMR016005
 Rural,215,3433,3648,Minelar,MMR016005
 Total,385,4823,5208,Minelar,MMR016005
