Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,3835,5178,9013,Kyaukpadaung,MMR010020
 Rural,7190,45758,52948,Kyaukpadaung,MMR010020
 Total,11025,50936,61961,Kyaukpadaung,MMR010020
