Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,3769,7325,11094,Tachileik,MMR016009
 Rural,7791,12294,20085,Tachileik,MMR016009
 Total,11560,19619,31179,Tachileik,MMR016009
