Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,200,146,346,Manhero(ST),MMR015009
 Rural,701,596,1297,Manhero(ST),MMR015009
 Total,901,742,1643,Manhero(ST),MMR015009
