Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,1412,3203,4615,Minbya,MMR012005
 Rural,1464,30549,32013,Minbya,MMR012005
 Total,2876,33752,36628,Minbya,MMR012005
