Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,2198,2056,4254,Kyaukpyu,MMR012011
 Rural,2273,30737,33010,Kyaukpyu,MMR012011
 Total,4471,32793,37264,Kyaukpyu,MMR012011
