Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,1249,531,1780,Singaing,MMR010014
 Rural,16518,15281,31799,Singaing,MMR010014
 Total,17767,15812,33579,Singaing,MMR010014
