Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,301,476,777,Ahmar(ST),MMR017023
 Rural,3375,23634,27009,Ahmar(ST),MMR017023
 Total,3676,24110,27786,Ahmar(ST),MMR017023
