Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,7534,4181,11715,Thanbyuzayat,MMR011004
 Rural,12527,11992,24519,Thanbyuzayat,MMR011004
 Total,20061,16173,36234,Thanbyuzayat,MMR011004
