Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,4249,5615,9864,Kyauktan,MMR013024
 Rural,7488,15624,23112,Kyauktan,MMR013024
 Total,11737,21239,32976,Kyauktan,MMR013024
