Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,15008,18273,33281,Chanayeharzan,MMR010002
 Total,15008,18273,33281,Chanayeharzan,MMR010002
