Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,1032,3504,4536,Hopon,MMR014003
 Rural,984,19208,20192,Hopon,MMR014003
 Total,2016,22712,24728,Hopon,MMR014003
