Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,50200,26784,76984,Dagon Myothit(South),MMR013018
 Total,50200,26784,76984,Dagon Myothit(South),MMR013018
