Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,1865,1974,3839,Kyauktaw,MMR012004
 Rural,3509,29147,32656,Kyauktaw,MMR012004
 Total,5374,31121,36495,Kyauktaw,MMR012004
