Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,55,606,661,Panlon(ST),MMR015021
 Rural,8,516,524,Panlon(ST),MMR015021
 Total,63,1122,1185,Panlon(ST),MMR015021
