Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,471,1322,1793,Tagaung,MMR010012
 Rural,842,4757,5599,Tagaung,MMR010012
 Total,1313,6079,7392,Tagaung,MMR010012
