Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,604,2071,2675,Ngwehsaung(ST),MMR017001
 Rural,1399,5396,6795,Ngwehsaung(ST),MMR017001
 Total,2003,7467,9470,Ngwehsaung(ST),MMR017001
