Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,3720,2222,5942,Hmawby,MMR013003
 Rural,27543,22984,50527,Hmawby,MMR013003
 Total,31263,25206,56469,Hmawby,MMR013003
