Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,75,1113,1188,Thabeikkyin,MMR010012
 Rural,2211,22350,24561,Thabeikkyin,MMR010012
 Total,2286,23463,25749,Thabeikkyin,MMR010012
