Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,470,1633,2103,Mone`,MMR014019
 Rural,259,3862,4121,Mone`,MMR014019
 Total,729,5495,6224,Mone`,MMR014019
