Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,782,3901,4683,Kukai,MMR015011
 Rural,508,13840,14348,Kukai,MMR015011
 Total,1290,17741,19031,Kukai,MMR015011
