Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,1851,915,2766,Yekyi,MMR017006
 Rural,13467,11569,25036,Yekyi,MMR017006
 Total,15318,12484,27802,Yekyi,MMR017006
