Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,47,454,501,Pyinsalu(ST),MMR017016
 Rural,2584,17352,19936,Pyinsalu(ST),MMR017016
 Total,2631,17806,20437,Pyinsalu(ST),MMR017016
