Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,3356,1971,5327,Yame`thin,MMR010023
 Rural,17503,34429,51932,Yame`thin,MMR010023
 Total,20859,36400,57259,Yame`thin,MMR010023
