Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,1180,477,1657,Ngazun,MMR010021
 Rural,10103,16078,26181,Ngazun,MMR010021
 Total,11283,16555,27838,Ngazun,MMR010021
