Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,2567,6535,9102,Kengtung,MMR016001
 Rural,4248,20746,24994,Kengtung,MMR016001
 Total,6815,27281,34096,Kengtung,MMR016001
