Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,70,783,853,Minemaw,MMR015008
 Rural,128,9464,9592,Minemaw,MMR015008
 Total,198,10247,10445,Minemaw,MMR015008
