Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,18,451,469,Panwine,MMR015007
 Rural,203,13297,13500,Panwine,MMR015007
 Total,221,13748,13969,Panwine,MMR015007
