Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,89,524,613,Minengaw(ST),MMR015012
 Rural,85,3331,3416,Minengaw(ST),MMR015012
 Total,174,3855,4029,Minengaw(ST),MMR015012
