Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,338,570,908,Dekkhinathiri,MMR018004
 Rural,2171,3918,6089,Dekkhinathiri,MMR018004
 Total,2509,4488,6997,Dekkhinathiri,MMR018004
 Urban,1430775,1618658,3049433,Dekkhinathiri,MMR018004
 Rural,2477777,5350622,7828399,Dekkhinathiri,MMR018004
 Total,3908552,6969280,10877832,Dekkhinathiri,MMR018004
