Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,226,607,833,Ngayokaung(ST),MMR017004
 Rural,827,8541,9368,Ngayokaung(ST),MMR017004
 Total,1053,9148,10201,Ngayokaung(ST),MMR017004
