Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,35,567,602,Kyauktalongyi(ST),MMR014001
 Rural,278,11385,11663,Kyauktalongyi(ST),MMR014001
 Total,313,11952,12265,Kyauktalongyi(ST),MMR014001
