Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,4443,2313,6756,Thongwa,MMR013025
 Rural,17521,15810,33331,Thongwa,MMR013025
 Total,21964,18123,40087,Thongwa,MMR013025
