Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,15,143,158,Taungpyoletwe(ST),MMR012009
 Rural,7,341,348,Taungpyoletwe(ST),MMR012009
 Total,22,484,506,Taungpyoletwe(ST),MMR012009
