Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,5066,4449,9515,Nyaung U,MMR010022
 Rural,5880,29267,35147,Nyaung U,MMR010022
 Total,10946,33716,44662,Nyaung U,MMR010022
