Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,13175,6654,19829,Hinthada,MMR017008
 Rural,39756,26544,66300,Hinthada,MMR017008
 Total,52931,33198,86129,Hinthada,MMR017008
