Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,71,436,507,Minesan(Monsan)(ST),MMR014017
 Rural,86,6073,6159,Minesan(Monsan)(ST),MMR014017
 Total,157,6509,6666,Minesan(Monsan)(ST),MMR014017
