Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,20060,19608,39668,Myitkyina,MMR001001
 Rural,2852,8063,10915,Myitkyina,MMR001001
 Total,22912,27671,50583,Myitkyina,MMR001001
 Urban,1944,1876,3820,Waingmaw,MMR001002
 Rural,4706,11254,15960,Waingmaw,MMR001002
 Total,6650,13130,19780,Waingmaw,MMR001002
 Urban,2,76,78,Ingyanyan,MMR001003
 Rural,1,206,207,Ingyanyan,MMR001003
 Total,3,282,285,Ingyanyan,MMR001003
 Urban,1701,1993,3694,Tanaing,MMR001004
 Rural,508,2196,2704,Tanaing,MMR001004
 Total,2209,4189,6398,Tanaing,MMR001004
 Urban,12,317,329,Chiphwe,MMR001005
 Rural,22,1580,1602,Chiphwe,MMR001005
 Total,34,1897,1931,Chiphwe,MMR001005
 Urban,2,64,66,Hsotlaw,MMR001006
 Rural,9,998,1007,Hsotlaw,MMR001006
 Total,11,1062,1073,Hsotlaw,MMR001006
 Urban,217,487,704,Hsinbo(ST),MMR001001
 Rural,184,1120,1304,Hsinbo(ST),MMR001001
 Total,401,1607,2008,Hsinbo(ST),MMR001001
 Urban,30,480,510,Hsadone(ST),MMR001002
 Rural,5,1095,1100,Hsadone(ST),MMR001002
 Total,35,1575,1610,Hsadone(ST),MMR001002
 Urban,2,172,174,Kanpaikti(ST),MMR001002
 Rural,9,1287,1296,Kanpaikti(ST),MMR001002
 Total,11,1459,1470,Kanpaikti(ST),MMR001002
 Urban,115,910,1025,Shinbwayyan(ST),MMR001004
 Rural,73,1032,1105,Shinbwayyan(ST),MMR001004
 Total,188,1942,2130,Shinbwayyan(ST),MMR001004
 Urban,9,187,196,Panwa(ST),MMR001005
 Rural,6,1173,1179,Panwa(ST),MMR001005
 Total,15,1360,1375,Panwa(ST),MMR001005
 Urban,4642,1711,6353,Mohnyin,MMR001007
 Rural,12107,11730,23837,Mohnyin,MMR001007
 Total,16749,13441,30190,Mohnyin,MMR001007
 Urban,3161,1287,4448,Mogaung,MMR001008
 Rural,11179,9271,20450,Mogaung,MMR001008
 Total,14340,10558,24898,Mogaung,MMR001008
 Urban,201,6655,6856,Phakant,MMR001009
 Rural,1958,24320,26278,Phakant,MMR001009
 Total,2159,30975,33134,Phakant,MMR001009
 Urban,3320,1221,4541,Hopin(ST),MMR001007
 Rural,2958,1933,4891,Hopin(ST),MMR001007
 Total,6278,3154,9432,Hopin(ST),MMR001007
 Urban,145,885,1030,Kamine(ST),MMR001009
 Rural,206,2262,2468,Kamine(ST),MMR001009
 Total,351,3147,3498,Kamine(ST),MMR001009
 Urban,4803,4712,9515,Bhamo,MMR001010
 Rural,4431,10215,14646,Bhamo,MMR001010
 Total,9234,14927,24161,Bhamo,MMR001010
 Urban,1900,1502,3402,Shwegu,MMR001011
 Rural,3619,8807,12426,Shwegu,MMR001011
 Total,5519,10309,15828,Shwegu,MMR001011
 Urban,1071,1019,2090,Momauk,MMR001012
 Rural,1929,4615,6544,Momauk,MMR001012
 Total,3000,5634,8634,Momauk,MMR001012
 Urban,597,1021,1618,Mansi,MMR001013
 Rural,2231,6705,8936,Mansi,MMR001013
 Total,2828,7726,10554,Mansi,MMR001013
 Urban,69,292,361,Myohla(ST),MMR001011
 Rural,53,379,432,Myohla(ST),MMR001011
 Total,122,671,793,Myohla(ST),MMR001011
 Urban,138,1087,1225,Lwe`ge`(ST),MMR001012
 Rural,32,246,278,Lwe`ge`(ST),MMR001012
 Total,170,1333,1503,Lwe`ge`(ST),MMR001012
 Urban,19,292,311,Dotphoneyan(ST),MMR001012
 Rural,131,1791,1922,Dotphoneyan(ST),MMR001012
 Total,150,2083,2233,Dotphoneyan(ST),MMR001012
 Urban,646,2165,2811,Putao,MMR001014
 Rural,667,7265,7932,Putao,MMR001014
 Total,1313,9430,10743,Putao,MMR001014
 Urban,4,168,172,Sumprabum,MMR001015
 Rural,39,268,307,Sumprabum,MMR001015
 Total,43,436,479,Sumprabum,MMR001015
 Urban,28,380,408,Machanbaw,MMR001016
 Rural,79,1232,1311,Machanbaw,MMR001016
 Total,107,1612,1719,Machanbaw,MMR001016
 Urban,-,70,70,Khaunglanphoo,MMR001018
 Rural,15,1626,1641,Khaunglanphoo,MMR001018
 Total,15,1696,1711,Khaunglanphoo,MMR001018
 Urban,3,357,360,Naungmoon,MMR001017
 Rural,2,581,583,Naungmoon,MMR001017
 Total,5,938,943,Naungmoon,MMR001017
 Urban,-,24,24,Pannandin(ST),MMR001017
 Rural,1,244,245,Pannandin(ST),MMR001017
 Total,1,268,269,Pannandin(ST),MMR001017
 Urban,6054,4368,10422,Loikaw,MMR002001
 Rural,5112,10961,16073,Loikaw,MMR002001
 Total,11166,15329,26495,Loikaw,MMR002001
 Urban,740,397,1137,Dimawso,MMR002002
 Rural,4854,9356,14210,Dimawso,MMR002002
 Total,5594,9753,15347,Dimawso,MMR002002
 Urban,216,637,853,Phruso,MMR002003
