Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,42232,22524,64756,North Okkalapa,MMR013012
 Total,42232,22524,64756,North Okkalapa,MMR013012
