Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,4026,3557,7583,Mawlamyinegyun,MMR017018
 Rural,12027,55276,67303,Mawlamyinegyun,MMR017018
 Total,16053,58833,74886,Mawlamyinegyun,MMR017018
