Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,1592,2579,4171,Naungkhio,MMR015013
 Rural,3046,25007,28053,Naungkhio,MMR015013
 Total,4638,27586,32224,Naungkhio,MMR015013
