Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,8542,8088,16630,Amarapura,MMR010006
 Rural,17264,15732,32996,Amarapura,MMR010006
 Total,25806,23820,49626,Amarapura,MMR010006
